ProximityToWaterBody,Elevation,Rainfall,Vegetation,Urbanization,Soil,Drainage,Slope,StormFrequency,Wetlands,Deforestation,Season,Infrastructure,Encroachment,FloodRisk
Close to Dam,94,134,Sparse,Medium,Loamy,Moderate,Flat,Occasional,Present,Severe,Rainy,Strong,Severe,Medium
Moderately Close to Lagoon,9,576,Sparse,High,Rocky,Good,Steep,Rare,Absent,Moderate,Transition,Strong,Moderate,Medium
Far from Dam,7,574,Sparse,Medium,Loamy,Poor,Steep,Rare,Present,None,Rainy,Moderate,Moderate,Low
Moderately Close to River,294,82,None,Low,Loamy,Good,Moderate,Rare,Absent,Moderate,Dry,Moderate,Moderate,Low
Moderately Close to Dam,199,141,None,Medium,Clay,Good,Flat,Frequent,Absent,Moderate,Dry,Moderate,Severe,Medium
Moderately Close to Lake,294,694,Dense,Medium,Loamy,Poor,Moderate,Frequent,Absent,Moderate,Transition,Weak,None,Medium
Very Close to River,175,998,Dense,Low,Clay,Poor,Moderate,Frequent,Present,None,Transition,Moderate,Severe,Low
Far from River,64,388,Moderate,Low,Rocky,Moderate,Flat,Occasional,Present,None,Transition,Moderate,None,None
Close to Dam,266,784,None,High,Loamy,Good,Steep,Occasional,Absent,None,Dry,Moderate,None,Low
Far from Lake,114,548,Moderate,Low,Sandy,Good,Steep,Rare,Present,None,Dry,Weak,Severe,Low
Moderately Close to River,13,115,Moderate,Low,Clay,Moderate,Flat,Occasional,Absent,Severe,Rainy,Weak,Severe,Medium
Close to Lake,10,525,Sparse,Low,Loamy,Moderate,Moderate,Rare,Absent,None,Transition,Weak,Moderate,Medium
Very Close to Lagoon,21,703,Sparse,High,Rocky,Poor,Flat,Frequent,Present,Moderate,Rainy,Moderate,Moderate,High
Close to Lake,227,157,Moderate,Low,Sandy,Poor,Steep,Rare,Present,Severe,Dry,Weak,None,Low
Moderately Close to Stream,286,672,None,High,Sandy,Good,Steep,Occasional,Absent,None,Rainy,Strong,Severe,Low
Very Close to Lagoon,29,908,Sparse,Low,Loamy,Moderate,Moderate,Rare,Present,Severe,Transition,Weak,Moderate,Medium
Far from River,32,922,Dense,Low,Sandy,Good,Moderate,Frequent,Absent,Severe,Rainy,Moderate,None,Medium
Far from River,237,96,Sparse,Medium,Loamy,Moderate,Moderate,Occasional,Absent,Severe,Dry,Moderate,Moderate,Low
Very Close to Dam,202,245,None,High,Sandy,Good,Moderate,Occasional,Absent,Moderate,Rainy,Strong,None,Medium
Very Close to Stream,130,733,Dense,Medium,Loamy,Poor,Flat,Frequent,Present,Moderate,Dry,Moderate,Severe,Medium
Far from River,68,259,Moderate,Low,Loamy,Moderate,Flat,Occasional,Present,Moderate,Rainy,Weak,Severe,Low
Moderately Close to River,78,863,Dense,Low,Rocky,Poor,Flat,Frequent,Absent,None,Transition,Moderate,Moderate,Medium
Very Far from Stream,238,876,Sparse,High,Loamy,Moderate,Flat,Occasional,Present,None,Rainy,Moderate,Severe,Medium
Very Close to Lake,228,71,Moderate,High,Clay,Poor,Moderate,Occasional,Absent,None,Dry,Moderate,None,Low
Very Close to Dam,54,867,Moderate,High,Clay,Moderate,Moderate,Frequent,Absent,None,Transition,Weak,Moderate,Medium
Moderately Close to Dam,223,204,Dense,Low,Clay,Good,Steep,Frequent,Present,Moderate,Dry,Strong,Severe,Low
Far from Dam,213,465,Moderate,High,Rocky,Moderate,Moderate,Frequent,Present,Severe,Rainy,Weak,Severe,Medium
Very Close to Lake,143,207,None,Medium,Sandy,Moderate,Steep,Rare,Present,Severe,Rainy,Moderate,Severe,Medium
Close to Dam,281,648,None,Low,Rocky,Good,Flat,Frequent,Present,Severe,Rainy,Moderate,None,Medium
Very Far from Lagoon,133,857,Sparse,Low,Loamy,Good,Moderate,Frequent,Present,None,Rainy,Moderate,Moderate,Low
Far from Lagoon,199,30,Dense,High,Rocky,Good,Steep,Occasional,Present,None,Rainy,Weak,None,None
Moderately Close to Stream,204,486,None,Low,Sandy,Moderate,Moderate,Rare,Present,Moderate,Transition,Strong,Moderate,Low
Far from Lagoon,44,768,None,Medium,Rocky,Moderate,Flat,Rare,Present,None,Transition,Weak,None,Medium
Very Far from River,121,444,Sparse,Medium,Clay,Good,Flat,Rare,Absent,Moderate,Rainy,Strong,Moderate,Medium
Moderately Close to Lagoon,191,780,Dense,Low,Sandy,Moderate,Steep,Rare,Absent,Moderate,Dry,Strong,Moderate,Low
Far from Lake,221,857,Sparse,Low,Clay,Good,Steep,Frequent,Absent,Severe,Transition,Moderate,None,Low
Moderately Close to Lagoon,100,962,None,Low,Loamy,Good,Flat,Rare,Present,Moderate,Rainy,Strong,Severe,Medium
Very Far from Lake,300,375,Dense,High,Rocky,Moderate,Steep,Occasional,Absent,None,Dry,Moderate,None,None
Very Far from Dam,74,651,Sparse,High,Rocky,Moderate,Moderate,Frequent,Present,Moderate,Dry,Strong,Moderate,Medium
Moderately Close to River,181,22,Dense,Medium,Sandy,Poor,Steep,Rare,Present,Severe,Dry,Weak,Severe,Low
Far from Dam,73,530,Dense,High,Clay,Good,Moderate,Rare,Absent,None,Dry,Weak,Severe,Low
Very Close to Dam,14,568,Dense,Low,Loamy,Poor,Steep,Rare,Absent,None,Dry,Moderate,None,Low
Far from Lagoon,195,45,Moderate,High,Rocky,Good,Flat,Frequent,Present,None,Rainy,Moderate,None,Low
Far from Lagoon,19,535,Sparse,Medium,Clay,Moderate,Flat,Occasional,Absent,Moderate,Rainy,Moderate,Severe,Medium
Close to River,244,437,Sparse,Low,Loamy,Poor,Steep,Rare,Absent,Moderate,Rainy,Moderate,None,Low
Very Close to River,195,422,Moderate,Medium,Loamy,Moderate,Steep,Occasional,Absent,Severe,Rainy,Moderate,Moderate,Medium
Far from Stream,14,824,Dense,Low,Sandy,Moderate,Steep,Frequent,Absent,Moderate,Transition,Strong,Moderate,Low
Moderately Close to River,65,436,Sparse,Low,Clay,Moderate,Flat,Rare,Absent,Severe,Rainy,Moderate,Moderate,Medium
Close to River,25,144,Moderate,Low,Loamy,Good,Moderate,Rare,Present,Severe,Rainy,Moderate,Severe,Low
Very Far from River,84,855,Dense,Low,Loamy,Moderate,Moderate,Frequent,Present,None,Rainy,Moderate,None,Low
Far from Stream,16,148,Moderate,Low,Rocky,Moderate,Flat,Occasional,Absent,Moderate,Dry,Moderate,None,Low
Very Far from Lake,76,843,Sparse,Low,Loamy,Poor,Steep,Occasional,Absent,Severe,Rainy,Strong,Moderate,Medium
Far from River,129,85,Sparse,Medium,Loamy,Good,Moderate,Occasional,Present,None,Dry,Strong,Severe,Low
Moderately Close to Lake,253,159,Dense,High,Clay,Poor,Flat,Frequent,Present,Severe,Transition,Strong,Severe,Medium
Close to Lake,270,155,Sparse,Medium,Rocky,Good,Flat,Frequent,Present,None,Rainy,Weak,None,Low
Very Close to Lagoon,196,112,Sparse,High,Clay,Good,Steep,Occasional,Present,Moderate,Rainy,Weak,Severe,Medium
Very Close to Dam,30,612,Moderate,High,Clay,Good,Steep,Rare,Present,None,Dry,Strong,Severe,Low
Very Far from Stream,183,122,Dense,High,Rocky,Poor,Steep,Frequent,Present,None,Transition,Strong,Moderate,Low
Moderately Close to River,64,85,None,High,Clay,Poor,Steep,Frequent,Present,Severe,Rainy,Strong,None,Medium
Moderately Close to Lagoon,193,894,Sparse,Low,Clay,Poor,Flat,Rare,Present,Severe,Rainy,Weak,Severe,Medium
Very Far from Dam,65,42,Sparse,Medium,Rocky,Moderate,Flat,Frequent,Present,Moderate,Dry,Strong,Severe,Medium
Close to Lagoon,100,449,Dense,Low,Clay,Moderate,Flat,Frequent,Present,Moderate,Dry,Moderate,None,Low
Far from Dam,6,374,Dense,Low,Loamy,Poor,Flat,Rare,Absent,None,Rainy,Strong,Moderate,Low
Moderately Close to River,131,136,Sparse,High,Loamy,Good,Steep,Occasional,Absent,Moderate,Transition,Moderate,Severe,Low
Close to Stream,123,574,Moderate,Medium,Loamy,Good,Steep,Rare,Absent,None,Rainy,Strong,Severe,Low
Very Far from Stream,248,885,Sparse,Low,Sandy,Good,Steep,Occasional,Absent,None,Rainy,Weak,Severe,Low
Very Far from Stream,192,735,Sparse,High,Sandy,Poor,Steep,Rare,Present,None,Dry,Weak,None,Low
Moderately Close to Lagoon,283,957,None,Low,Sandy,Poor,Flat,Rare,Absent,Moderate,Transition,Moderate,Severe,Medium
Close to Dam,76,805,None,Medium,Sandy,Good,Moderate,Rare,Present,Severe,Rainy,Weak,Moderate,Medium
Very Close to Dam,209,552,Sparse,High,Rocky,Moderate,Moderate,Occasional,Absent,Moderate,Dry,Moderate,Moderate,Medium
Very Far from Dam,258,127,Moderate,Low,Loamy,Moderate,Flat,Rare,Present,None,Rainy,Moderate,None,None
Very Close to Lagoon,188,208,Moderate,High,Rocky,Poor,Steep,Occasional,Absent,Moderate,Transition,Strong,Severe,Low
Very Close to Dam,89,97,Dense,Medium,Loamy,Poor,Flat,Occasional,Present,Moderate,Transition,Moderate,Severe,Medium
Far from Stream,173,977,Sparse,Low,Loamy,Poor,Steep,Occasional,Absent,Severe,Transition,Strong,None,Low
Very Far from Stream,25,319,Moderate,High,Sandy,Moderate,Flat,Occasional,Absent,Moderate,Transition,Weak,Moderate,Medium
Moderately Close to Lake,111,210,None,Low,Clay,Poor,Moderate,Rare,Present,Moderate,Dry,Moderate,Severe,Medium
Very Close to Lake,51,996,Moderate,Low,Sandy,Moderate,Flat,Rare,Absent,None,Transition,Strong,Moderate,Low
Very Close to Lake,2,333,Dense,Medium,Rocky,Moderate,Steep,Occasional,Absent,None,Dry,Weak,Moderate,Low
Close to Lake,17,889,Dense,Medium,Rocky,Good,Flat,Rare,Absent,Moderate,Dry,Moderate,Moderate,Medium
Moderately Close to Lagoon,224,937,Sparse,High,Rocky,Good,Steep,Frequent,Present,Moderate,Transition,Strong,Moderate,Low
Very Far from River,115,230,Dense,Low,Rocky,Poor,Steep,Rare,Absent,Moderate,Transition,Strong,Moderate,Low
Far from Stream,56,871,Sparse,Low,Rocky,Good,Moderate,Frequent,Present,None,Rainy,Moderate,Moderate,Low
Moderately Close to Lagoon,234,553,None,Medium,Sandy,Moderate,Flat,Frequent,Absent,Severe,Rainy,Moderate,Severe,High
Very Close to Lagoon,259,26,Moderate,Medium,Loamy,Moderate,Flat,Occasional,Present,None,Dry,Weak,Severe,Low
Close to Dam,216,557,Sparse,High,Rocky,Poor,Moderate,Frequent,Present,None,Rainy,Strong,Severe,Medium
Very Far from Stream,293,267,None,Low,Loamy,Good,Moderate,Rare,Present,Moderate,Dry,Strong,Moderate,Low
Very Close to River,182,245,Sparse,Low,Sandy,Moderate,Moderate,Occasional,Absent,Severe,Transition,Moderate,Moderate,Low
Moderately Close to Lagoon,232,904,Sparse,High,Loamy,Poor,Moderate,Frequent,Absent,Severe,Dry,Moderate,None,Medium
Very Close to River,128,590,Moderate,Low,Rocky,Good,Moderate,Occasional,Present,Moderate,Transition,Weak,Moderate,Low
Close to Lagoon,227,697,Sparse,Low,Rocky,Moderate,Moderate,Occasional,Present,Moderate,Rainy,Strong,Moderate,Low
Very Far from Dam,111,236,None,Low,Sandy,Poor,Moderate,Rare,Present,Severe,Rainy,Weak,Moderate,Medium
Very Close to Dam,20,697,Moderate,Medium,Rocky,Poor,Steep,Occasional,Absent,Severe,Transition,Moderate,None,Medium
Very Close to River,267,398,Dense,Low,Clay,Good,Steep,Rare,Absent,Severe,Dry,Moderate,Severe,Low
Far from River,20,971,Moderate,High,Loamy,Good,Moderate,Frequent,Present,None,Dry,Strong,None,Low
Far from Lake,19,932,Sparse,Medium,Sandy,Poor,Moderate,Occasional,Present,Moderate,Transition,Weak,None,Medium
Far from River,247,349,None,Low,Loamy,Poor,Steep,Frequent,Absent,None,Dry,Weak,None,Low
Very Far from Lake,288,945,Moderate,Medium,Rocky,Poor,Moderate,Rare,Absent,None,Dry,Weak,None,Low
Far from Lagoon,0,919,Moderate,Low,Loamy,Poor,Flat,Occasional,Present,Severe,Rainy,Moderate,Moderate,Medium
Moderately Close to Stream,191,37,None,High,Rocky,Poor,Flat,Rare,Present,None,Dry,Moderate,Severe,Medium
Very Far from Stream,165,607,None,Medium,Loamy,Moderate,Moderate,Frequent,Present,None,Rainy,Moderate,Moderate,Medium
Close to River,160,4,None,High,Clay,Moderate,Moderate,Rare,Present,None,Rainy,Weak,Moderate,Medium
Close to Lagoon,278,159,Dense,Medium,Clay,Good,Moderate,Rare,Present,Moderate,Dry,Weak,Severe,Low
Far from Lake,247,609,Moderate,Low,Loamy,Good,Moderate,Occasional,Absent,None,Dry,Moderate,Moderate,None
Moderately Close to Stream,34,180,Dense,High,Clay,Moderate,Steep,Occasional,Absent,Moderate,Dry,Moderate,Severe,Low
Moderately Close to Dam,265,602,Moderate,High,Sandy,Good,Steep,Frequent,Present,Moderate,Transition,Strong,None,Low
Close to Lake,71,100,Dense,Low,Rocky,Poor,Flat,Rare,Absent,Moderate,Rainy,Moderate,None,Low
Very Far from Dam,47,450,Sparse,Low,Sandy,Poor,Moderate,Rare,Present,Severe,Transition,Weak,None,Medium
Very Far from Stream,222,931,Moderate,High,Clay,Good,Flat,Frequent,Present,None,Rainy,Weak,Moderate,Medium
Moderately Close to Dam,206,683,Dense,Low,Sandy,Moderate,Steep,Rare,Absent,Severe,Rainy,Weak,Severe,Medium
Moderately Close to Lagoon,99,179,Dense,Low,Sandy,Poor,Steep,Occasional,Present,Severe,Transition,Strong,Severe,Low
Far from River,119,330,Dense,High,Rocky,Moderate,Moderate,Rare,Present,Moderate,Dry,Moderate,Moderate,Low
Very Far from Lagoon,186,485,None,Medium,Loamy,Good,Steep,Frequent,Absent,None,Dry,Moderate,Severe,Low
Moderately Close to Lagoon,72,827,Sparse,Medium,Sandy,Poor,Flat,Occasional,Absent,Moderate,Transition,Weak,None,Medium
Very Close to Lagoon,24,524,None,Low,Rocky,Moderate,Flat,Frequent,Absent,Severe,Rainy,Strong,None,High
Very Close to Lake,194,995,None,High,Loamy,Poor,Flat,Occasional,Absent,None,Rainy,Moderate,Severe,High
Close to Dam,287,575,Moderate,Low,Sandy,Moderate,Steep,Frequent,Absent,Severe,Dry,Moderate,Severe,Low
Close to Dam,101,787,Sparse,Medium,Loamy,Good,Moderate,Occasional,Absent,Moderate,Dry,Weak,Moderate,Medium
Far from Lagoon,129,884,Moderate,Low,Loamy,Poor,Steep,Rare,Present,Severe,Transition,Weak,Moderate,Low
Close to River,220,632,Moderate,Medium,Sandy,Moderate,Steep,Occasional,Absent,None,Rainy,Weak,None,Low
Very Far from Lagoon,25,956,Moderate,Low,Sandy,Moderate,Steep,Frequent,Present,Severe,Transition,Weak,Moderate,Medium
Far from Lake,208,389,Moderate,High,Loamy,Poor,Flat,Rare,Present,Moderate,Rainy,Weak,None,Low
Far from Lagoon,0,904,Moderate,Low,Loamy,Poor,Moderate,Occasional,Present,Moderate,Dry,Moderate,Severe,Low
Very Far from Stream,123,972,None,High,Clay,Poor,Moderate,Frequent,Present,None,Dry,Strong,Severe,Medium
Moderately Close to Lake,109,239,Moderate,Medium,Clay,Poor,Moderate,Frequent,Present,None,Transition,Moderate,Moderate,Low
Far from Lagoon,199,551,Sparse,High,Clay,Good,Moderate,Occasional,Present,Moderate,Transition,Moderate,Moderate,Low
Very Far from Stream,89,882,Dense,High,Rocky,Good,Flat,Frequent,Present,Moderate,Transition,Moderate,None,Low
Close to River,212,47,Sparse,Medium,Rocky,Poor,Flat,Rare,Absent,Moderate,Rainy,Strong,None,Medium
Close to Stream,9,829,Sparse,High,Loamy,Poor,Moderate,Occasional,Absent,None,Transition,Moderate,None,Medium
Far from Dam,70,656,None,High,Clay,Good,Steep,Rare,Present,None,Transition,Strong,Severe,Low
Far from Dam,210,778,Moderate,Medium,Clay,Good,Steep,Frequent,Present,None,Rainy,Weak,None,Low
Moderately Close to Lake,57,170,Sparse,Low,Sandy,Good,Steep,Frequent,Present,Moderate,Transition,Moderate,None,Low
Close to Stream,176,198,Dense,High,Loamy,Poor,Moderate,Rare,Absent,Severe,Transition,Moderate,Severe,Medium
Moderately Close to Dam,155,195,Moderate,Low,Clay,Good,Steep,Frequent,Present,Severe,Rainy,Strong,Moderate,Low
Moderately Close to River,191,102,None,Low,Clay,Good,Moderate,Rare,Present,Severe,Transition,Strong,Severe,Low
Close to Stream,3,832,Sparse,High,Clay,Poor,Flat,Occasional,Present,Severe,Dry,Strong,Moderate,High
Very Far from Lagoon,12,700,Moderate,Medium,Clay,Good,Moderate,Occasional,Absent,Severe,Dry,Strong,Moderate,Low
Very Far from Lagoon,267,271,Moderate,Low,Loamy,Good,Moderate,Occasional,Absent,None,Transition,Strong,None,None
Close to Lake,239,750,None,Medium,Loamy,Good,Flat,Occasional,Present,Moderate,Dry,Weak,Moderate,Medium
Close to Dam,243,230,None,High,Clay,Moderate,Flat,Occasional,Absent,Moderate,Dry,Weak,None,Medium
Moderately Close to Stream,36,48,Sparse,Low,Loamy,Good,Flat,Frequent,Absent,Severe,Rainy,Weak,None,Medium
Close to Dam,192,886,None,High,Sandy,Good,Steep,Occasional,Absent,None,Rainy,Weak,Moderate,Medium
Very Close to Lagoon,32,234,Sparse,Medium,Rocky,Poor,Steep,Occasional,Absent,Severe,Rainy,Moderate,Moderate,Medium
Moderately Close to Lake,21,643,None,Low,Loamy,Good,Steep,Frequent,Absent,None,Rainy,Weak,Severe,Medium
Very Close to Dam,33,540,Moderate,Low,Rocky,Poor,Flat,Occasional,Absent,Moderate,Transition,Strong,Severe,Medium
Very Far from River,75,241,Dense,High,Loamy,Poor,Moderate,Frequent,Absent,None,Dry,Weak,Severe,Medium
Close to Dam,63,699,Sparse,High,Sandy,Good,Flat,Frequent,Present,None,Dry,Moderate,Moderate,Medium
Close to Lagoon,79,537,Moderate,Medium,Rocky,Poor,Flat,Occasional,Present,None,Transition,Moderate,Moderate,Low
Very Close to Lake,121,796,Moderate,Low,Rocky,Poor,Flat,Rare,Absent,Severe,Dry,Strong,Severe,Medium
Close to Lagoon,12,119,Moderate,Low,Sandy,Poor,Steep,Occasional,Absent,Moderate,Rainy,Weak,Severe,Medium
Very Far from Lagoon,34,224,None,High,Loamy,Poor,Flat,Rare,Present,Severe,Dry,Strong,Severe,Medium
Very Far from River,224,713,None,High,Sandy,Moderate,Moderate,Frequent,Present,None,Dry,Weak,Moderate,Medium
Far from Dam,244,516,Dense,Low,Rocky,Poor,Flat,Occasional,Present,Severe,Rainy,Weak,Moderate,Medium
Close to Lake,181,636,None,Low,Sandy,Good,Flat,Rare,Absent,Moderate,Rainy,Weak,None,Medium
Moderately Close to River,113,970,Sparse,High,Sandy,Good,Moderate,Occasional,Absent,Severe,Rainy,Weak,Severe,High
Very Far from Dam,240,834,None,High,Loamy,Moderate,Steep,Rare,Present,Severe,Rainy,Strong,None,Medium
Moderately Close to Stream,267,902,Dense,High,Loamy,Good,Flat,Frequent,Absent,None,Rainy,Moderate,Severe,Medium
Very Close to Lagoon,276,181,Moderate,High,Sandy,Good,Moderate,Occasional,Absent,Moderate,Rainy,Strong,None,Low
Close to River,236,373,Moderate,Low,Rocky,Poor,Flat,Frequent,Absent,Severe,Transition,Strong,Moderate,Low
Close to Dam,190,892,Dense,High,Loamy,Poor,Flat,Occasional,Present,None,Rainy,Strong,Severe,Medium
Very Far from Stream,9,645,Dense,High,Sandy,Moderate,Moderate,Occasional,Present,None,Transition,Moderate,Severe,Low
Far from Dam,26,503,Sparse,Low,Clay,Good,Moderate,Occasional,Present,Severe,Rainy,Moderate,Severe,Medium
Very Far from Stream,233,576,Dense,Low,Clay,Poor,Moderate,Occasional,Present,None,Transition,Strong,None,None
Far from River,97,314,Sparse,Medium,Rocky,Good,Flat,Frequent,Present,Moderate,Rainy,Moderate,Severe,Medium
Moderately Close to Dam,277,530,Dense,High,Clay,Good,Steep,Rare,Present,Severe,Transition,Weak,Moderate,Low
Far from Dam,17,805,Dense,Low,Clay,Poor,Steep,Occasional,Present,None,Rainy,Strong,Severe,Low
Very Close to Dam,267,283,Moderate,Low,Loamy,Moderate,Flat,Rare,Absent,Moderate,Dry,Weak,Moderate,Low
Moderately Close to Lagoon,17,106,Dense,Low,Sandy,Moderate,Moderate,Frequent,Absent,Moderate,Rainy,Weak,None,Medium
Very Close to Dam,295,370,Moderate,Medium,Clay,Good,Steep,Rare,Present,None,Rainy,Weak,None,Low
Very Close to Dam,240,541,None,Medium,Sandy,Poor,Flat,Rare,Present,None,Rainy,Moderate,None,Medium
Moderately Close to Lake,236,883,Sparse,Low,Sandy,Poor,Flat,Frequent,Absent,Moderate,Rainy,Moderate,None,Medium
Moderately Close to River,198,738,None,Medium,Sandy,Good,Flat,Frequent,Present,Moderate,Rainy,Moderate,None,Medium
Very Close to Lake,273,832,Dense,Medium,Rocky,Poor,Steep,Rare,Present,Moderate,Rainy,Weak,Severe,Medium
Very Far from Stream,172,59,None,Medium,Clay,Good,Steep,Occasional,Absent,Severe,Dry,Moderate,None,Low
Far from Lake,149,465,Dense,Low,Clay,Moderate,Steep,Rare,Present,Severe,Rainy,Weak,Severe,Low
Very Close to Stream,33,120,Sparse,Low,Loamy,Good,Moderate,Frequent,Present,None,Dry,Strong,Moderate,Low
Close to Dam,199,127,None,High,Clay,Poor,Steep,Frequent,Present,Severe,Rainy,Weak,Moderate,Medium
Close to River,214,758,Dense,High,Rocky,Good,Steep,Frequent,Present,None,Transition,Moderate,Moderate,Low
Very Close to Dam,130,636,None,High,Loamy,Good,Moderate,Frequent,Absent,Moderate,Transition,Weak,Moderate,High
Far from River,209,542,Moderate,High,Loamy,Good,Flat,Rare,Present,Severe,Dry,Strong,Severe,Low
Close to Stream,210,231,None,High,Loamy,Poor,Steep,Frequent,Present,Moderate,Transition,Strong,Moderate,Medium
Moderately Close to Lake,273,787,Dense,Medium,Clay,Good,Flat,Rare,Absent,Moderate,Dry,Moderate,None,Low
Moderately Close to Dam,66,936,None,High,Rocky,Good,Moderate,Frequent,Absent,None,Dry,Moderate,None,Medium
Close to Stream,142,928,Dense,High,Clay,Moderate,Steep,Occasional,Absent,None,Rainy,Weak,Moderate,Medium
Far from Stream,172,166,Sparse,Low,Sandy,Good,Flat,Occasional,Present,Moderate,Rainy,Moderate,Severe,Low
Very Far from Lake,162,12,Moderate,High,Sandy,Poor,Steep,Frequent,Present,Severe,Dry,Moderate,Moderate,Low
Moderately Close to River,296,905,Sparse,Low,Sandy,Good,Steep,Frequent,Absent,Moderate,Rainy,Strong,None,Low
Moderately Close to Dam,135,607,Dense,Medium,Clay,Moderate,Moderate,Frequent,Absent,Moderate,Transition,Moderate,Moderate,Medium
Close to River,200,563,None,Low,Loamy,Poor,Moderate,Frequent,Present,Severe,Transition,Strong,Severe,Medium
Moderately Close to Lagoon,90,834,Dense,Low,Rocky,Good,Steep,Frequent,Absent,Severe,Rainy,Moderate,Moderate,Medium
Far from Lagoon,72,880,None,Medium,Rocky,Good,Steep,Frequent,Present,None,Transition,Weak,None,Low
Moderately Close to Lagoon,278,828,Moderate,Low,Rocky,Poor,Flat,Occasional,Present,Moderate,Rainy,Moderate,Severe,Medium
Very Close to Stream,293,411,Dense,Low,Rocky,Good,Moderate,Rare,Absent,None,Dry,Weak,Moderate,Low
Very Far from River,135,22,Sparse,High,Clay,Good,Flat,Occasional,Absent,Moderate,Transition,Strong,Severe,Low
Very Far from Lagoon,19,517,Moderate,Medium,Rocky,Poor,Moderate,Frequent,Absent,Moderate,Transition,Moderate,Moderate,Medium
Very Far from Lake,21,202,Sparse,Low,Rocky,Good,Moderate,Occasional,Absent,Severe,Dry,Weak,None,Low
Very Far from Dam,6,212,None,Medium,Clay,Good,Steep,Occasional,Present,None,Transition,Strong,None,Low
Very Close to Stream,155,9,None,Medium,Rocky,Poor,Steep,Rare,Absent,Severe,Transition,Moderate,Moderate,Medium
Very Close to Stream,16,606,Moderate,Low,Sandy,Poor,Flat,Frequent,Absent,Moderate,Rainy,Strong,Moderate,Medium
Very Far from Lake,52,602,Dense,Low,Clay,Good,Flat,Frequent,Present,Severe,Rainy,Weak,None,Medium
Very Close to Stream,136,139,Dense,Low,Rocky,Good,Moderate,Occasional,Present,Moderate,Transition,Weak,None,Low
Far from River,224,921,Dense,High,Rocky,Poor,Steep,Frequent,Present,None,Rainy,Weak,Moderate,Medium
Far from Lake,134,709,Dense,High,Clay,Moderate,Steep,Frequent,Absent,Severe,Transition,Weak,Severe,Medium
Moderately Close to River,18,195,Moderate,Low,Rocky,Good,Moderate,Rare,Present,Severe,Dry,Strong,Severe,Low
Moderately Close to Lagoon,209,674,None,Medium,Clay,Good,Moderate,Frequent,Present,Severe,Dry,Moderate,Severe,Medium
Close to River,127,559,Moderate,Medium,Loamy,Moderate,Steep,Frequent,Absent,Severe,Dry,Moderate,None,Medium
Very Close to Dam,99,399,Sparse,High,Clay,Moderate,Moderate,Occasional,Absent,None,Dry,Strong,Severe,Medium
Very Close to River,203,100,Moderate,High,Loamy,Poor,Flat,Frequent,Present,None,Transition,Moderate,Moderate,Low
Moderately Close to River,253,138,None,High,Loamy,Poor,Moderate,Frequent,Present,Severe,Rainy,Strong,Moderate,Medium
Close to Stream,65,684,Dense,High,Sandy,Poor,Moderate,Rare,Absent,Moderate,Rainy,Moderate,Moderate,Medium
Close to Dam,283,778,Dense,High,Loamy,Moderate,Moderate,Rare,Present,Severe,Rainy,Strong,Severe,Medium
Very Close to River,117,443,Sparse,Medium,Sandy,Poor,Flat,Frequent,Absent,Moderate,Dry,Weak,Moderate,High
Very Far from Stream,280,854,Dense,High,Rocky,Poor,Moderate,Occasional,Absent,Severe,Rainy,Weak,Moderate,Medium
Very Close to Lagoon,36,416,Sparse,Low,Sandy,Good,Flat,Rare,Absent,Moderate,Transition,Moderate,Moderate,Medium
Very Far from Stream,69,258,Moderate,Medium,Rocky,Moderate,Flat,Occasional,Present,Severe,Transition,Weak,Severe,Medium
Far from Lake,229,528,None,Low,Rocky,Moderate,Moderate,Rare,Present,Moderate,Dry,Strong,None,Low
Very Close to Dam,37,71,Sparse,High,Loamy,Poor,Steep,Occasional,Absent,None,Dry,Strong,Severe,Medium
Moderately Close to Lagoon,111,252,Moderate,Medium,Loamy,Good,Moderate,Rare,Present,None,Transition,Weak,None,Low
Moderately Close to Stream,101,913,Moderate,Low,Clay,Good,Moderate,Frequent,Absent,Moderate,Transition,Weak,Moderate,Medium
Moderately Close to River,117,696,Sparse,Medium,Loamy,Good,Moderate,Rare,Absent,Moderate,Dry,Moderate,Moderate,Medium
Moderately Close to Lagoon,118,352,Moderate,Medium,Rocky,Moderate,Flat,Rare,Present,None,Transition,Strong,Severe,Low
Very Far from Dam,211,450,Moderate,Medium,Sandy,Good,Steep,Occasional,Present,None,Rainy,Strong,None,None
Very Far from River,214,615,Sparse,Low,Clay,Good,Flat,Rare,Present,None,Transition,Strong,Moderate,Low
Close to River,290,749,Sparse,Low,Sandy,Good,Moderate,Rare,Absent,None,Transition,Strong,Severe,Low
Far from Lake,147,499,Moderate,Medium,Loamy,Moderate,Moderate,Occasional,Absent,None,Dry,Weak,Moderate,Low
Very Close to Lagoon,165,421,Moderate,High,Rocky,Moderate,Moderate,Occasional,Present,Moderate,Transition,Strong,Moderate,Low
Very Close to Lagoon,260,668,Moderate,Medium,Clay,Poor,Steep,Frequent,Present,None,Rainy,Weak,Moderate,Medium
Very Close to River,100,367,None,Medium,Loamy,Moderate,Moderate,Occasional,Present,Severe,Transition,Strong,Severe,Medium
Far from River,125,906,Dense,High,Sandy,Poor,Flat,Occasional,Present,Severe,Transition,Weak,Severe,Medium
Very Far from Lake,98,634,Dense,Medium,Clay,Poor,Flat,Occasional,Absent,Severe,Transition,Strong,Moderate,Medium
Far from River,171,566,Moderate,Medium,Sandy,Poor,Flat,Occasional,Present,None,Transition,Weak,Moderate,Low
